Date,Adj Close,Volume,Sentiments
16/5/18,240.876114,17222004,-1
17/5/18,240.479767,11721064,-1
18/5/18,236.664993,11873041,1
21/5/18,242.21376,18780730,1
22/5/18,251.577301,68713602,1
23/5/18,260.792236,71202072,1
24/5/18,266.043732,34679642,-1
25/5/18,264.507935,22317308,1
28/5/18,269.561249,18959368,-1
29/5/18,261.882141,16107543,1
30/5/18,264.706085,19320209,1
31/5/18,267.084137,31935892,-1
1/6/18,264.260223,16574717,-1
4/6/18,260.594055,12933824,1
5/6/18,261.139008,14102731,1
6/6/18,267.67865,18315171,-1
7/6/18,267.183228,18773700,1
8/6/18,270.502594,14096549,1
11/6/18,271.493439,18219428,1
12/6/18,280.262482,31358021,1
13/6/18,285.068115,26748300,-1
14/6/18,280.014771,18513730,-1
15/6/18,274.911896,16949917,-1
18/6/18,274.317352,13542420,-1
19/6/18,270.106232,20726975,1
20/6/18,270.799835,14002946,-1
21/6/18,266.192352,12954943,1
22/6/18,270.552124,20784133,-1
25/6/18,265.994202,10934401,-1
26/6/18,264.953796,16867009,-1
27/6/18,259.305969,16277655,-1
28/6/18,254.648941,21349738,1
29/6/18,256.977448,16244724,-1
2/7/18,256.482025,21896701,-1
3/7/18,255.144379,16099030,-1
4/7/18,255.094849,14206935,-1
5/7/18,254.103989,11215032,1
6/7/18,254.847137,16174019,1
9/7/18,259.157318,13220744,1
10/7/18,261.337189,11487165,-1
11/7/18,256.729736,12857179,1
12/7/18,260.346344,10642215,-1
13/7/18,255.39209,11976239,-1
16/7/18,249.298355,8965623,1
17/7/18,256.680176,16067598,1
18/7/18,257.175598,17641125,1
19/7/18,257.819672,9958284,1
20/7/18,259.107788,6120163,1
23/7/18,263.913422,17013119,1
24/7/18,264.408844,9320281,1
25/7/18,269.363098,13099277,1
26/7/18,285.068115,53496546,-1
27/7/18,284.126801,32175436,1
30/7/18,294.679352,40949610,-1
31/7/18,290.815033,36510328,1
1/8/18,292.400421,33885474,-1
2/8/18,291.211365,15665209,1
3/8/18,296.512451,18254462,1
6/8/18,305.677826,31576923,-1
7/8/18,301.268524,23928622,1
8/8/18,305.876007,20498279,1
9/8/18,314.496399,46464355,-1
10/8/18,301.664886,111510771,-1
13/8/18,291.459106,58127432,1
14/8/18,292.20224,25294933,-1
16/8/18,290.022369,31083900,1
17/8/18,299.336365,21931134,1
20/8/18,304.835602,20240462,-1
21/8/18,304.191559,14139592,-1
23/8/18,299.683167,22721004,-1
24/8/18,297.701477,18869585,1
27/8/18,305.182404,28111768,-1
28/8/18,302.556641,16890236,1
29/8/18,306.866852,24320824,-1
30/8/18,305.776917,19935935,1
31/8/18,306.767761,18100140,-1
3/9/18,303.547485,14708076,-1
4/9/18,293.688507,42859084,1
5/9/18,293.837128,22922686,-1
6/9/18,293.738068,18001336,-1
7/9/18,288.981964,23716678,-1
10/9/18,282.244171,23354395,-1
11/9/18,280.014771,28361400,1
12/9/18,282.690033,22717796,1
14/9/18,287.991119,15149585,-1
17/9/18,282.690033,16089996,-1
18/9/18,271.295258,33901000,-1
19/9/18,269.016296,40759431,-1
21/9/18,268.124542,39308482,-1
24/9/18,261.931702,24633374,1
25/9/18,268.421783,28948831,-1
26/9/18,261.436279,23951904,1
27/9/18,262.922577,24829383,1
28/9/18,263.071198,33803139,1
1/10/18,271.344818,17711738,-1
3/10/18,269.214478,19714943,-1
4/10/18,268.867676,17754204,-1
5/10/18,255.986603,36628643,1
8/10/18,263.318909,21100804,-1
9/10/18,260.544525,16010883,1
10/10/18,276.100891,31772330,-1
11/10/18,259.751831,46291120,1
12/10/18,261.337189,42967696,-1
15/10/18,260.792236,21965859,1
16/10/18,267.827271,33597068,-1
17/10/18,258.760986,21631573,-1
19/10/18,258.711456,28474307,-1
22/10/18,257.968323,19933462,-1
23/10/18,253.311295,20206307,1
24/10/18,253.36084,25636533,-1
25/10/18,247.267105,33066232,-1
26/10/18,245.830368,20543437,1
29/10/18,265.449219,37768359,1
30/10/18,270.651215,33401683,1
31/10/18,278.825745,28137370,1
1/11/18,283.284576,29144808,-1
2/11/18,282.739594,27760214,1
5/11/18,292.251801,44619891,-1
6/11/18,283.829559,40688243,1
7/11/18,283.928619,3312160,-1
9/11/18,280.658813,19201007,-1
12/11/18,275.407318,24044907,1
13/11/18,275.506378,25633628,1
14/11/18,281.005615,52674807,1
15/11/18,282.789124,18445463,1
16/11/18,288.238831,24805910,-1
19/11/18,285.513977,13799970,-1
20/11/18,280.856995,12900924,1
21/11/18,284.424042,16167419,-1
22/11/18,280.113861,12066797,1
26/11/18,283.779999,16846820,1
27/11/18,286.752533,21242956,-1
28/11/18,281.946899,19837609,1
29/11/18,283.779999,27919104,-1
30/11/18,282.04599,17583510,1
3/12/18,284.176331,15772176,-1
4/12/18,279.96521,11897307,-1
5/12/18,277.587158,14893748,-1
6/12/18,273.128326,11083451,-1
7/12/18,272.880615,10165275,-1
10/12/18,271.69162,11947887,1
11/12/18,278.677094,30927239,1
12/12/18,282.640503,21765939,1
13/12/18,286.356201,24097152,1
14/12/18,286.554382,12156361,1
17/12/18,286.851624,12728014,1
18/12/18,290.071899,13606582,1
19/12/18,297.949188,26124125,-1
20/12/18,291.359985,19222232,-1
21/12/18,289.229675,15777301,1
24/12/18,290.369141,12048877,1
26/12/18,291.459106,12684324,-1
27/12/18,289.477386,15304564,1
28/12/18,292.103149,12876558,1
31/12/18,293.193085,9526067,1
1/1/19,296.859253,11837127,-1
2/1/19,291.211365,25559853,-1
3/1/19,288.437012,17548347,1
4/1/19,294.927063,19514041,-1
7/1/19,293.589417,14579399,1
8/1/19,302.50708,22949961,0
9/1/19,302.50708,21109911,1
10/1/19,302.754791,16295468,-1
11/1/19,299.980438,12702551,-1
14/1/19,297.651917,10372933,1
15/1/19,298.890472,9444374,1
16/1/19,300.37677,12111480,-1
17/1/19,294.679352,15974634,-1
18/1/19,292.251801,9082501,-1
